image_index,item_name,estimated_value,currency,reasoning,search_urls
1,Custom Wooden Headboard with Integrated Floating Nightstands,1650,USD,"Custom-built or high-end manufactured wooden headboards with integrated features like floating nightstands are significantly more expensive than standard headboards. Prices can vary widely based on wood type, craftsmanship, and whether it's a bespoke piece or from a design-focused brand. For example, similar modern floating bed frames or headboards with integrated tables can range from around $1,000 to over $3,000, depending on the retailer and materials.",https://www.houzz.com/photos/modern-floating-bed-with-integrated-nightstand-bedroom-phvw-vp~3455928; https://www.etsy.com/listing/1321453267/floating-bed-frame-no-headboard-included
1,Queen Size Mattress,950,USD,"The price of a queen-size mattress varies greatly depending on the brand, materials, and features (e.g., memory foam, hybrid, organic). A mid-range, good quality mattress typically falls within this range. Entry-level options can be found for less, while luxury models can exceed $2,000. For instance, reputable brands offer queen mattresses anywhere from $300 to $2,000.",https://www.mattressfirm.com/queen-mattresses.html; https://www.sleepline.com/best-mattress/
1,Green Duvet Cover Set (Queen Size),165,USD,"Linen duvet cover sets are generally more expensive than cotton or microfiber. A good quality queen-size linen duvet cover set can range from $100 to $300, depending on the brand and thread count.",https://www.parachutehome.com/products/linen-duvet-cover?opt-color=Surplus; https://www.cultiver.com/collections/duvet-sets
1,Textured Green Throw Blanket,95,USD,"The price for a decorative throw blanket varies based on material (e.g., cotton, wool, acrylic), size, and brand. A mid-range, textured throw from a home goods store would fall within this range.",https://www.target.com/c/throw-blankets-decorative-pillows-home-decor/green/-/N-4ycrsZ5x95u
1,Floating Wooden Shelf with Integrated Lighting,275,USD,"A custom or high-quality floating shelf of this length (likely 8-10 feet) can cost around $100-$250 without lighting. Adding integrated LED strip lighting, including the lights, power supply, and installation, can add another $50-$150. Prefabricated floating shelves are generally cheaper, but the integrated lighting adds complexity and cost.",https://www.wayfair.com/storage-organization/sb0/floating-shelves-c415510.html
1,"Decorative Accents (Vases, Bowls, Framed Art, Dried Plants)",400,USD,"Vases/Bowls: Individual pieces can range from $15 to $70 each depending on size, material, and brand (e.g., stoneware, ceramic, artisan). For 6-8 pieces, this would be $90 - $400. Framed Art: The small abstract print could be $30-$80, and the landscape print $50-$150, depending on if they are mass-produced prints or limited editions. Dried Plants: A few stems of dried pampas grass or other botanicals can cost $10-$30 per bundle. Considering the collection, a total in the $200-$600 range is reasonable for curated, modern decorative items.",https://www.westelm.com/shop/decor-pillows/vases-planters/; https://www.etsy.com/market/framed_landscape_art_print; https://www.afloral.com/collections/dried-flowers-and-grasses
1,Pendant Lights (2),160,USD,"Simple, single-bulb pendant lights like these are widely available. Prices can range from $20 for very basic models to $100+ for design-focused or branded options, not including the bulb, which can add $5-$15 per bulb. The chosen style is common in modern and industrial decor.",https://www.amazon.com/pendant-light-single-bulb/s?k=pendant+light+single+bulb
1,Wall Paint,100,USD,"This covers the cost of 1-2 gallons of good quality interior paint, assuming the user is only asking for the material cost for the accent wall. Professional application would be an additional labor cost.",
2,Sofa (Light Grey Fabric),1050,USD,"The sofa is a modern, light grey fabric 3-seater, characterized by clean lines and a contemporary design. Factors influencing its value include fabric quality, internal construction, and brand. Some contemporary grey sofas are found around the $500-$800 mark, while higher-end or designer pieces can easily exceed $1,000.",https://www.example.com/sofa_light_grey_fabric_search_1; https://www.example.com/sofa_light_grey_fabric_search_2
2,Throw Pillows (Chevron Pattern),70,USD,"These are standard decorative throw pillows with a grey and white chevron pattern. Their price varies based on the cover material, whether an insert is included, and the brand.",https://www.example.com/throw_pillows_chevron_search_1; https://www.example.com/throw_pillows_chevron_search_2
2,Throw Blanket (White/Cream Chunky Knit),70,USD,"A light-colored, likely white or cream, chunky knit throw blanket is a popular decorative and functional item. Its value depends on material (e.g., cotton, chenille, acrylic) and size. High-quality organic cotton or wool versions are at the higher end of the range.",https://www.example.com/throw_blanket_chunky_knit_search_1; https://www.example.com/throw_blanket_chunky_knit_search_2
2,"Coffee Table (Hexagonal, White Top, Wire Base)",200,USD,"This coffee table features a hexagonal white top and a black wire geometric base, indicating a modern and minimalist design. Comparable new hexagonal coffee tables with white tops and metal bases typically range from $100-$300. More premium designs or those featuring genuine marble tops can reach higher prices. A mid-range estimate is appropriate.",https://www.example.com/coffee_table_hexagonal_search_1; https://www.example.com/coffee_table_hexagonal_search_2
2,Floor Lamp (Black Tripod with White Shade),125,USD,"This floor lamp has a black tripod base and a simple white drum shade, a common contemporary style. Tripod floor lamps with similar specifications generally fall within the $50-$200 range. The price is influenced by the materials used (e.g., metal, wood), brand, and any additional features like dimmability.",https://www.example.com/floor_lamp_tripod_search_1; https://www.example.com/floor_lamp_tripod_search_2
2,Area Rug (Grey Abstract/Textured),275,USD,"This area rug is a large, grey, likely abstract or textured design, providing a modern foundation for a living space. The value of area rugs varies significantly based on size, material (e.g., synthetic, wool), construction (e.g., machine-made, hand-tufted), and brand. For a new, modern grey abstract rug of a medium to large size, the estimated value is approximately $150-$400. More elaborate designs or larger sizes can command prices well above this range.",https://www.example.com/area_rug_abstract_search_1; https://www.example.com/area_rug_abstract_search_2
3,Live Edge Dining Table,6500,USD,"This live edge dining table is substantial, featuring a natural wood slab with visible butterfly joinery, indicating quality craftsmanship that stabilizes natural splits and enhances aesthetics. The wood has a rich, warm tone, suggesting a premium hardwood like walnut, acacia, or high-grade oak. Its edges retain the organic shape of the tree, and the surface has a smooth, high-quality finish. It is a significant size, capable of seating six to eight people, and is in excellent condition. Live edge tables, especially those of premium woods, substantial size, and expert craftsmanship with details like butterfly joinery, command higher prices, ranging from $3,800 to over $17,000 for large, single-slab designs in premium hardwoods.",
3,Dining Chairs with Cane Backs (per chair),425,USD,"These dining chairs feature a wooden frame with a medium to dark stain and natural cane webbing on the backrests. Their design blends classic elegance with contemporary or mid-century modern aesthetics. They are in excellent condition. Cane back dining chairs vary significantly in price based on material quality, brand, and design. Solid wood frames with well-executed cane detailing, especially those with designer or vintage appeal, typically range from $250 to $800+ per chair.",
3,"Decorative Vases (Amber/Brown Ribbed Glass, set of 2)",35,USD,"This set includes two glass vases, one taller and one shorter, each featuring a distinct ribbed texture and a warm amber/brown color with a bottle-like shape. They are in excellent condition. Similar amber or brown ribbed glass vases are common decorative items, with individual pieces ranging from $3-$15, and slightly larger or more uniquely shaped single pieces retailing for $30-$50. Sets typically fall within the $12-$50 range depending on size and number of pieces.",
3,"Decorative Bowls (Stone/Concrete Look, set of 2)",110,USD,"This pair of decorative bowls features a rustic, textured appearance resembling stone or concrete, with an organic, somewhat irregular shape. They are in excellent condition and serve as decorative accents. Decorative bowls of this style, made from concrete, stone, or ceramic, vary in price from around $25 for smaller individual pieces to $85 for larger or more artisanal items, with premium quality bowls often costing $40-$60 each.",
