image_index,item_name,estimated_value,currency,reasoning,search_urls
2,"Wooden Headboard (Simple, Horizontal Planks)",425,USD,"This appears to be a custom or semi-custom floating wooden headboard, with its value depending on wood type and craftsmanship.",
2,Two Floating Wooden Bedside Tables with Drawers,500,USD,"These are wall-mounted nightstands with a minimalist design, likely solid wood or high-quality wood veneer. Similar items often range from $100 to $400 per piece.",
2,"Two Pendant Lights (Black cord, exposed Edison-style bulb)",140,USD,Minimalist exposed bulb pendant lights are widely available.,
2,LED Strip Lighting (Under floating shelf),35,USD,This is typically an affordable addition.,
2,Large Wooden Floating Shelf,200,USD,"Solid wood floating shelves vary significantly by length, depth, thickness, and wood type. Given its length, it's likely a custom or higher-end piece.",
2,Minimalist Botanical/Abstract Framed Print,100,USD,"This appears to be a contemporary art print, likely framed.",
2,Landscape Framed Print,135,USD,"This appears to be a contemporary art print, likely framed.",
2,Potted Plant (Greenery in a light-colored pot),42.5,USD,"Assuming a live, medium-sized houseplant with a decorative pot.",
2,Dried Grass/Wheat Arrangement & Wooden Vase,62.5,USD,Dried botanicals are popular. The total value includes both the dried grass/pampas and the wooden vase.,
2,Small Decorative Ceramic Bowls/Vases (5-7 pieces),212.5,USD,These small decorative items can range from mass-produced to artisan-crafted.,
2,Small Candle/Diffuser Holder,20,USD,A small decorative accent.,
3,Live Edge Solid Wood Dining Table,4500,USD,"This is a substantial live edge dining table with a natural wood slab top, showcasing organic contours and distinctive butterfly joints for both structural integrity and decorative appeal. The finish appears smooth and polished, indicating excellent condition. Its size suggests seating for 6 to 8 people. Valuation is based on market data for comparable high-quality live edge tables, which range significantly based on wood species, size, thickness, base material, and craftsmanship. Tables with butterfly joints command a premium, and given its characteristics, this item falls into the higher end of the mid-range.",https://www.google.com/search?q=live+edge+dining+table+with+butterfly+joints; https://www.etsy.com/market/live_edge_dining_table
3,Cane Back Dining Chair (per chair),400,USD,"These dining chairs feature a dark wooden frame and a woven cane back, blending traditional craftsmanship with modern influences. They appear to be in excellent condition, suggesting they are new or very well-maintained. The chairs are armless, with seats that appear solid wood. Valuation reflects the market for good quality solid wood cane back chairs, which can vary based on brand, materials, and design, often ranging in the mid to higher price points for well-constructed pieces.",https://www.google.com/search?q=cane+back+dining+chairs; https://www.wayfair.com/furniture/sb0/cane-dining-chairs-c415089.html
3,Dried Pampas Grass and Glass Vases (2 arrangements),100,USD,"This valuation includes two decorative arrangements: a tall dried pampas grass arrangement in an amber-toned glass vase and a smaller similar arrangement in a smaller vase. These are common decorative items. The value accounts for the cost of the pampas grass bundles and the respective glass vases, considering typical retail prices for such decorative elements.",https://www.google.com/search?q=dried+pampas+grass+in+glass+vase; https://www.amazon.com/pampas-grass-vases/s?k=pampas+grass+vases
3,Decorative Stone Bowls (2),120,USD,"This includes two rustic-looking decorative stone bowls. The valuation is an estimate for both bowls, based on typical prices for well-crafted, simple rustic stone bowls found in home decor retail. The condition appears consistent with their decorative purpose.",https://www.google.com/search?q=decorative+stone+bowls; https://www.potterybarn.com/products/stone-bowls/
3,Decorative Pinecones,3,USD,"These pinecones are used as a decorative filler within one of the stone bowls. They are typically sold in bags for a minimal cost, and their monetary value as decorative items is generally low.",https://www.google.com/search?q=decorative+pinecones+for+crafts; https://www.michaels.com/search?q=pinecones
